XxY,slice_ID,raw_x,raw_y,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,batch,clusters,clusters_0.7,new_x,new_y,new_z,dotShape,clusters_0.6,clusters_0.5,clusters_0.4,clusters_0.3
14700x114620-3,E16-18_S04_a,14700,114620,333,333,5.8111409929767,1151.0,7.049255,39.791485664639445,60.46915725456125,85.66463944396178,100.0,0.0,0.0,3,18,17,-84.95154161685711,-61.731799708431446,30000.0,circle,13,12,8,8
14700x114640-3,E16-18_S04_a,14700,114640,343,343,5.840641657373398,1279.0,7.1546154,42.298670836591086,61.68881939014855,85.69194683346365,100.0,0.0,0.0,3,18,17,-86.5263293433198,-41.79389501369026,30000.0,circle,13,12,8,8
14700x114660-3,E16-18_S04_a,14700,114660,355,355,5.87493073085203,1504.0,7.3165483,48.27127659574468,65.02659574468085,87.2340425531915,100.0,0.0,0.0,3,18,17,-88.10111706978248,-21.855990318949072,30000.0,circle,13,12,8,8
14700x114680-3,E16-18_S04_a,14700,114680,346,346,5.849324779946859,1393.0,7.2399325,46.231155778894475,64.8959081119885,86.36037329504667,100.0,0.0,0.0,3,18,17,-89.67590479624516,-1.9180856242078828,30000.0,circle,13,12,8,8
14700x114700-3,E16-18_S04_a,14700,114700,444,444,6.09807428216624,1711.0,7.4454174,37.81414377556984,55.58153126826417,77.32320280537697,100.0,0.0,0.0,3,18,17,-91.25069252270784,18.019819070533305,30000.0,circle,13,12,8,8
14700x114720-3,E16-18_S04_a,14700,114720,459,459,6.131226489483141,1787.0,7.488853,38.05260212646894,55.28819250139899,76.83268047006155,100.0,0.0,0.0,3,12,12,-92.82548024917052,37.957723765274494,30000.0,circle,12,11,8,8
14700x114740-3,E16-18_S04_a,14700,114740,463,463,6.139884552226255,1922.0,7.5616417,38.81373569198751,56.81581685744017,78.14776274713839,100.0,0.0,0.0,3,12,12,-94.4002679756332,57.895628460015686,30000.0,circle,12,11,8,8
14700x114760-3,E16-18_S04_a,14700,114760,458,458,6.129050210060545,1790.0,7.4905295,36.64804469273743,53.74301675977654,75.75418994413408,100.0,0.0,0.0,3,12,12,-95.97505570209589,77.83353315475688,30000.0,circle,12,11,8,8
14700x114780-3,E16-18_S04_a,14700,114780,483,483,6.182084906716632,1849.0,7.522941,37.47971876690103,53.86695511087074,75.82477014602487,100.0,0.0,0.0,3,12,12,-97.54984342855856,97.77143784949806,30000.0,circle,12,11,8,8
14700x114800-3,E16-18_S04_a,14700,114800,450,450,6.111467339502679,1683.0,7.4289274,36.36363636363637,53.41651812240048,75.4604872251931,100.0,0.0,0.0,3,12,12,-99.12463115502125,117.70934254423925,30000.0,circle,12,4,5,6
14700x114820-3,E16-18_S04_a,14700,114820,487,487,6.1903154058531475,2049.0,7.625595,37.28648121034651,54.465592972181554,75.40263543191801,100.0,0.0,0.0,3,1,1,-100.69941888148392,137.64724723898044,30000.0,circle,2,4,5,6
14700x114840-3,E16-18_S04_a,14700,114840,557,557,6.324358962381311,2793.0,7.9352293,40.02864303616183,57.715717866093804,75.61761546723953,97.95918367346938,0.0,0.0,3,1,1,-102.27420660794661,157.58515193372162,30000.0,circle,2,4,5,6
14700x114860-3,E16-18_S04_a,14700,114860,545,545,6.302618975744905,2872.0,7.963112,38.33565459610028,56.61559888579387,75.38300835654597,98.43314763231199,0.0,0.0,3,1,1,-103.84899433440928,177.52305662846283,30000.0,circle,2,4,5,6
14700x114880-3,E16-18_S04_a,14700,114880,551,551,6.313548046277095,2882.0,7.9665866,40.35392088827203,57.94587092297016,76.1970853573907,98.23039555863984,0.0,0.0,3,1,1,-105.42378206087197,197.460961323204,30000.0,circle,2,4,5,6
14700x114900-3,E16-18_S04_a,14700,114900,586,586,6.375024819828097,2840.0,7.9519114,36.302816901408455,52.852112676056336,71.58450704225352,96.9718309859155,0.0,0.0,3,1,1,-106.99856978733465,217.39886601794518,30000.0,circle,2,4,5,6
14700x114920-3,E16-18_S04_a,14700,114920,472,472,6.159095388491933,2172.0,7.683864,38.02946593001841,56.03130755064457,77.57826887661142,100.0,0.0,0.0,3,1,1,-108.57335751379733,237.3367707126864,30000.0,circle,2,4,5,6
14700x114940-3,E16-18_S04_a,14700,114940,560,560,6.329720905522696,2741.0,7.916443,38.599051441079894,56.65815395840934,75.33746807734404,97.81101787668734,0.0,0.0,3,1,1,-110.14814524026,257.2746754074276,30000.0,circle,2,4,5,6
14720x114460-3,E16-18_S04_a,14720,114460,451,451,6.113682179832232,2326.0,7.752335,43.9810834049871,62.381771281169385,82.2871883061049,100.0,0.0,0.0,3,2,3,-52.41533511041448,-219.66024953989827,30000.0,circle,4,0,2,3
14720x114480-3,E16-18_S04_a,14720,114480,559,559,6.327936783729195,2744.0,7.9175363,42.78425655976677,59.43877551020408,76.60349854227405,97.84985422740526,0.0,0.0,3,2,3,-53.99012283687716,-199.7223448451571,30000.0,circle,4,0,2,3
